name,area,lat,lon
Kenya,47240,-1.2921,36.8219
South Africa,92410,-25.7479,28.2293
Ethiopia,125396,8.9806,38.7578
Senegal,82330,14.7167,17.4677
DRC,1522665.938,-4.4419,15.2663
Algeria,19635.99976,36.7538,3.0588
Nigeria,11295.9976,9.0765,7.3986
Libya,2170,32.8872,13.1913
Somalia,62862.00195,2.0469,45.3182
Mali,46360,12.6392,-8.0029
Uganda,19418.00049,0.3476,32.5825
Sudan,190355.293,15.5007,32.5599
Morocco,56240,33.9716,-6.8498
Ghana,93654.00391,5.6037,-0.187
Angola,577311.9922,-8.8147,13.2302
Rwanda,4867.99878,-1.9441,30.0619
Tunisia,10511.99951,36.8065,10.1815
Burkina Faso,52902.00195,12.3714,-1.5197
Madagascar,124570,-18.8792,47.5079
Mozambique,377366.0156,-25.9692,32.5732
Guinea,63280,9.6412,-13.5784
Chad,47483.99902,12.1348,15.0557
Namibia,68447.99805,-22.56099,17.0658
Zimbabwe,137495.9961,-17.8216,31.0492
Cameroon,185960,3.848,11.5021
Niger,11295.99976,13.5116,2.1254
Togo,1681.999969,6.1256,1.2254
Eritrea,15055.99976,15.3229,38.9251
Sierra Leone,31076.00098,8.4657,-13.2317
Zambia,484683.9844,-15.3875,28.3228
South Sudan,71570,4.8594,31.5713
Gabon,232000,0.4162,9.4673
Tanzania,456880,-6.163,35.7516
Botswana,107377.998,-24.6282,25.9231
Mauritiana,2210,18.0735,-15.9582
Central African Republic,221544.0039,4.3947,18.5582
Liberia,41490,6.3156,-10.8074
Equiatorial Guinea,15564.00024,3.755,8.7821
Guinea Bissau,19620,11.8632,-15.5843
Ivory Coast,104005.9961,6.82766,-5.2893
Mauritius,386.3999994,-20.1609,57.5012
"Gambia, The",4896.000061,13.4549,-16.579
Malawi,31290,-13.9626,33.7741
Cape Verde,908.6000061,14.933,-23.5133
Lesotho,500,-29.3151,27.4869
Benin,42610,6.4969,2.6289
Eswatini,5905.999756,-26.3054,31.1367
